"aisle_id";"aisle"
130;"hot cereal pancake mixes"
24;"fresh fruits"
91;"soy lactosefree"
36;"butter"
21;"packaged cheese"
83;"fresh vegetables"
34;"frozen meat seafood"
3;"energy granola bars"
115;"water seltzer sparkling water"
84;"milk"
17;"baking ingredients"
114;"cleaning products"
45;"candy chocolate"
107;"chips pretzels"
112;"bread"
67;"fresh dips tapenades"
98;"juice nectars"
31;"refrigerated"
49;"packaged poultry"
71;"refrigerated pudding desserts"
66;"asian foods"
123;"packaged vegetables fruits"
120;"yogurt"
69;"soup broth bouillon"
39;"seafood counter"
35;"poultry counter"
78;"crackers"
32;"packaged produce"
88;"spreads"
63;"grains rice dried goods"
64;"energy sports drinks"
89;"salad dressing toppings"
129;"frozen appetizers sides"
30;"latino foods"
14;"tofu meat alternatives"
104;"spices seasonings"
96;"lunch meat"
9;"pasta sauce"
77;"soft drinks"
121;"cereal"
128;"tortillas flat bread"
100;"missing"
106;"hot dogs bacon sausage"
108;"other creams cheeses"
37;"ice cream ice"
58;"frozen breads doughs"
94;"tea"
51;"preserved dips spreads"
86;"eggs"
19;"oils vinegars"
27;"beers coolers"
110;"pickled goods olives"
4;"instant foods"
54;"paper goods"
116;"frozen produce"
57;"granola"
53;"cream"
50;"fruit vegetable snacks"
93;"breakfast bakery"
42;"frozen vegan vegetarian"
59;"canned meals beans"
61;"cookies cakes"
122;"meat counter"
79;"frozen pizza"
70;"digestion"
81;"canned jarred vegetables"
52;"frozen breakfast"
8;"bakery desserts"
6;"other"
16;"fresh herbs"
72;"condiments"
13;"prepared meals"
43;"buns rolls"
