"product_id";"product_name";"aisle_id";"department_id"
211;"Gluten Free Organic Cereal Coconut Maple Vanilla";130;14
260;"Cantaloupe";24;4
432;"Vanilla Almond Breeze Almond Milk";91;16
651;"Organic Salted Butter";36;16
781;"Organic Shredded Mild Cheddar";21;16
1374;"Organic Hass Avocado Bag";83;4
1542;"Mini Crispy Crabless Cakes";34;1
1545;"Healthy Grains Granola Bar, Vanilla Blueberry";3;19
1831;"Peach-Pear Sparkling Water";115;7
1940;"Organic 2% Reduced Fat Milk";84;16
2078;"Unsalted Pure Irish Butter";36;16
2099;"Natural Cane Turbinado Sugar";17;13
2566;"Mold and Mildew Remover with Bleach";114;17
2626;"Roasted Walnut Pecan Caramel Marshmallows";45;19
2732;"Gluten Free Pretzel Sticks";107;19
2770;"Brownberry Natural Wheat Bread";112;3
2825;"Organic Original Hommus";67;20
2846;"Organic Green Onions";83;4
2966;"Pure Coconut Water";98;7
3298;"Mozzarella String Cheese";21;16
3896;"Organic Honey Sweet Whole Wheat Bread";112;3
3952;"Organic Broccoli Crowns";83;4
3957;"100% Raw Coconut Water";31;7
4149;"Frozen Organic Blueberries";24;4
4347;"Extralean Ground Turkey Breast";49;12
4357;"Organic Chocolate Almondmilk Pudding";71;16
4506;"Rick Sticks, Vermicelli";66;6
4920;"Seedless Red Grapes";123;4
4957;"Total 2% Lowfat Greek Strained Yogurt With Blueberry";120;16
5077;"100% Whole Wheat Bread";112;3
5433;"Superfood Bar Maca Maple Organic";3;19
5460;"Butter";36;16
5499;"Organic Cream Of Chicken Condensed Soup";69;15
5531;"Cool Mint Chocolate Energy Bar";3;19
5612;"Reduced Fat Milk";84;16
5785;"Organic Reduced Fat 2% Milk";84;16
5819;"Baby Carrots";123;4
5876;"Organic Lemon";24;4
5933;"Wild Caught Frozen Sockeye Salmon Fillet";39;12
6000;"Organic Baby Romaine";123;4
6046;"Boneless Skinless Chicken Breast";35;12
6128;"Original Fresh Stack Crackers";78;19
6184;"Clementines";32;4
6236;"BBQ Ranch Chopped Salad";123;4
6348;"Mini Original Babybel Cheese";21;16
6369;"Chunky Peanut Butter";88;13
6493;"Thai Jasmine Rice";63;9
6799;"Revive Zero Vitamin Water";64;7
6860;"Organic Balsamic Vinaigrette";89;13
6873;"Organic Iceberg Lettuce";83;4
7118;"Chocolate Chip Energy Bars";3;19
7175;"Organic Whipped Naturally Buttery Spread";91;16
7252;"Deep Green Blends Kale";32;4
7274;"Cheese & Pepperoni Mini Bagels";129;1
7358;"Verde Salsa";30;6
7578;"Quince";83;4
7673;"Organic SprouTofu Super Firm Tofu";14;20
7693;"Cran-Raspberry Flavored Sparkling Water";115;7
7704;"Liquid Aminos All Purpose Seasoning";104;13
7715;"Rosemary Ham";96;20
7948;"Organic Unsalted Butter";36;16
8143;"Baker's Pure Cane Ultrafine Sugar";17;13
8174;"Organic Navel Orange";24;4
8193;"Russet Potato";83;4
8204;"Traditional Favorites Tomato & Basil Pasta Sauce";9;9
8424;"Broccoli Crown";83;4
8518;"Organic Red Onion";83;4
8575;"Unprocessed American Singles Colby-Style Cheese";21;16
8832;"Cinnamon Bread";112;3
9018;"All Natural Virgin Lemonade";31;7
9175;"Diet Coke Caffeine Free Soda";77;7
9521;"Organic Whole O's Gluten Free Cereal";121;14
10032;"Cola Soft Drink";77;7
10070;"Organic 1% Low Fat Milk";84;16
10126;"All Natural Gluten Free Teff Wraps";128;3
10180;"Popped Salted Caramel Granola Bars";3;19
10360;"Dragon Fruit";24;4
10749;"Organic Red Bell Pepper";83;4
10851;"Natural Alpine Spring Water";115;7
10948;"Organic Brown Rice Flour Gluten Free";100;21
10960;"Nutritional Yeast Seasoning";104;13
11136;"Organic Low Sodium Chicken Cooking Stock";69;15
11481;"Organic Quinoa & Brown Rice With Garlic";63;9
12218;"Classic Wheat Bread";112;3
12302;"Sparkling Water, Natural Mango Essenced";115;7
12341;"Hass Avocados";32;4
12384;"Organic Lactose Free 1% Lowfat Milk";91;16
12782;"Bun Length Beef Franks";106;12
12950;"Gluten Free Organic Oat Based Cereal";130;14
12953;"Organic Just Tart Cherry Juice";98;7
13083;"Lowfat Small Curd Cottage Cheese";108;16
13176;"Bag of Organic Bananas";24;4
13375;"Vitaminwater Zero Focus Kiwi-Strawberry";37;1
13524;"Gluten Free Plain Tortilla";58;1
13557;"Decaffeinated Green Tea Bags";94;7
13575;"Apples";24;4
13805;"Gluten Free Everything Baked Cracker";78;19
13829;"Mild Salsa";51;13
13874;"Organic Pumpkin";17;13
13974;"Reduced Fat Creamy Peanut Butter Spread";88;13
14074;"Cheese Alternative, American Style, Slices";21;16
14129;"Organic Chicken Bone Broth";69;15
14218;"Grade A Large Eggs Cage Free Omega 3";86;16
14467;"Sweet Baguette";112;3
14633;"Veggie Chips";107;19
14715;"Coconut Water";98;7
15290;"Orange Bell Pepper";83;4
15455;"Organic Extra Virgin Oil Olive";19;13
15716;"Packets No Calorie Sweetener";17;13
15872;"Celery Hearts";83;4
16017;"Organic Mild Taco Seasoning Mix";104;13
16254;"ZBar Organic Chocolate Brownie Energy Snack";3;19
16398;"Guava Goddess Organic Kambucha";31;7
16464;"Sweet & Salty Nut Almond Granola Bars";3;19
16797;"Strawberries";24;4
16953;"Creamy Peanut Butter";88;13
17122;"Honeycrisp Apples";24;4
17158;"Classic Cosmic Cranberry Kombucha";27;5
17272;"Gut Shot Garlic Dill Pickle";110;13
17284;"Organic Sugar Snap Peas";83;4
17317;"Long Grain Wild Rice";4;9
17579;"Cream Top Strawberry on the Bottom Yogurt";120;16
17600;"YoKids Squeezers Organic Low-Fat Yogurt, Strawberry";120;16
